label,support,precision,recall,f1,tp,fp,fn
心血瘀阻,10,0.875,0.7,0.7778,7,1,3
正虚毒瘀,10,0.5,0.4,0.4444,4,4,6
正虚瘀结,10,0.5,0.6,0.5455,6,6,4
气滞血瘀,10,1.0,0.4,0.5714,4,0,6
气虚血瘀,10,0.5714,0.4,0.4706,4,3,6
气血亏虚,10,0.6667,0.8,0.7273,8,4,2
气阴两虚,10,0.75,0.6,0.6667,6,2,4
湿热下注,10,1.0,0.9,0.9474,9,0,1
湿热瘀阻,10,1.0,1.0,1.0,10,0,0
湿热蕴结,10,1.0,0.5,0.6667,5,0,5
湿热阻络,10,0.8,0.8,0.8,8,2,2
热毒蕴结,10,0.9091,1.0,0.9524,10,1,0
痰浊瘀阻,10,0.7273,0.8,0.7619,8,3,2
痰浊蒙窍,10,0.4706,0.8,0.5926,8,9,2
痰湿中阻,10,1.0,0.2,0.3333,2,0,8
痰湿蒙窍,10,0.4615,0.6,0.5217,6,7,4
痰湿蕴肺,10,0.75,0.3,0.4286,3,1,7
痰瘀互结,10,0.5,0.3,0.375,3,3,7
痰瘀痹阻,10,0.8182,0.9,0.8571,9,2,1
瘀血阻络,10,0.5714,0.8,0.6667,8,6,2
肝经湿热,10,1.0,1.0,1.0,10,0,0
肝肾不足,10,0.6667,0.8,0.7273,8,4,2
肝肾亏虚,10,0.5833,0.7,0.6364,7,5,3
肝肾阴虚,10,0.4286,0.6,0.5,6,8,4
肝胃不和,10,0.625,0.5,0.5556,5,3,5
肝胃郁热,10,0.7143,0.5,0.5882,5,2,5
肝阳上亢,10,0.4211,0.8,0.5517,8,11,2
肾虚,10,1.0,1.0,1.0,10,0,0
脾肾两虚,10,0.75,0.9,0.8182,9,3,1
脾胃不和,10,0.4,0.6,0.48,6,9,4
脾胃虚寒,10,0.6,0.9,0.72,9,6,1
血热,10,0.8333,1.0,0.9091,10,2,0
血瘀痰凝,10,0.9091,1.0,0.9524,10,1,0
阳虚水泛,10,0.9091,1.0,0.9524,10,1,0
阴虚火旺,10,1.0,0.7,0.8235,7,0,3
阴虚血瘀,10,0.75,0.9,0.8182,9,3,1
阴虚阳亢,10,1.0,0.8,0.8889,8,0,2
风寒外袭,10,1.0,0.9,0.9474,9,0,1
风寒袭肺,10,0.6,0.9,0.72,9,6,1
风痰上扰,10,0.375,0.3,0.3333,3,5,7
风痰入络,10,1.0,0.2,0.3333,2,0,8
风痰阻络,10,0.4444,0.4,0.4211,4,5,6
